year,team,team_name,division,G,W,L,ties,win_pct,p_win_pct,finish,gb,playoffs,R,RA,attendance,bat_age,pitch_age,num_bat,num_pitch,top_player,managers
2016,DET,Detroit Tigers,AL Central,161,86,75,0,.534,.518,2nd of 5,8.0,,750,721,"2,493,859",29.9,29.0,44,23,J.Verlander (6.7),B.Ausmus (86-75)
2015,DET,Detroit Tigers,AL Central,161,74,87,0,.460,.430,5th of 5,20.5,,689,803,"2,726,048",28.3,28.7,47,27,I.Kinsler (5.9),B.Ausmus (74-87)
2014,DET,Detroit Tigers,AL Central,162,90,72,0,.556,.533,1st of 5,--,Lost LDS (3-0),757,705,"2,917,209",29.7,28.5,48,30,I.Kinsler (5.8),B.Ausmus (90-72)
2013,DET,Detroit Tigers,AL Central,162,93,69,0,.574,.610,1st of 5,--,Lost ALCS (4-2),796,624,"3,083,397",29.9,28.4,39,20,M.Cabrera (7.3),J.Leyland (93-69)
2012,DET,Detroit Tigers,AL Central,162,88,74,0,.543,.537,1st of 5,--,Lost WS (4-0),726,670,"3,028,033",28.0,28.2,47,23,J.Verlander (8.0),J.Leyland (88-74)
2011,DET,Detroit Tigers,AL Central,162,95,67,0,.586,.546,1st of 5,--,Lost ALCS (4-2),787,711,"2,642,045",28.6,27.8,45,26,J.Verlander (8.6),J.Leyland (95-67)
2010,DET,Detroit Tigers,AL Central,162,81,81,0,.500,.505,3rd of 5,13.0,,751,743,"2,461,237",28.8,26.5,41,20,M.Cabrera (6.4),J.Leyland (81-81)
2009,DET,Detroit Tigers,AL Central,163,86,77,0,.528,.499,2nd of 5,1.0,,743,745,"2,567,165",29.7,26.6,45,23,J.Verlander (5.4),J.Leyland (86-77)
2008,DET,Detroit Tigers,AL Central,162,74,88,0,.457,.480,5th of 5,14.5,,821,857,"3,202,645",30.3,29.9,46,25,P.Polanco (4.4),J.Leyland (74-88)
2007,DET,Detroit Tigers,AL Central,162,88,74,0,.543,.549,2nd of 5,8.0,,887,797,"3,047,133",30.8,28.5,44,25,C.Granderson (7.6),J.Leyland (88-74)
2006,DET,Detroit Tigers,AL Central,162,95,67,0,.586,.589,2nd of 5,1.0,Lost WS (4-1),822,675,"2,595,937",29.3,28.8,40,19,C.Guillen (6.0),J.Leyland (95-67)
2005,DET,Detroit Tigers,AL Central,162,71,91,0,.438,.461,4th of 5,28.0,,723,787,"2,024,431",28.5,28.0,45,23,P.Polanco (4.3),A.Trammell (71-91)
2004,DET,Detroit Tigers,AL Central,162,72,90,0,.444,.491,4th of 5,20.0,,827,844,"1,917,004",28.2,27.5,39,18,C.Guillen (4.6),A.Trammell (72-90)
2003,DET,Detroit Tigers,AL Central,162,43,119,0,.265,.305,5th of 5,47.0,,591,928,"1,368,245",27.2,25.3,43,20,D.Young (3.4),A.Trammell (43-119)
2002,DET,Detroit Tigers,AL Central,161,55,106,0,.342,.322,5th of 5,39.0,,575,864,"1,503,623",28.1,28.1,57,30,J.Weaver (2.8),P.Garner (0-6) and L.Pujols (55-100)
2001,DET,Detroit Tigers,AL Central,162,66,96,0,.407,.414,4th of 5,25.0,,724,876,"1,921,305",28.2,28.1,44,22,S.Sparks (4.4),P.Garner (66-96)
2000,DET,Detroit Tigers,AL Central,162,79,83,0,.488,.498,3rd of 5,16.0,,823,827,"2,438,617",29.1,29.1,45,23,B.Higginson (5.3),P.Garner (79-83)
1999,DET,Detroit Tigers,AL Central,161,69,92,0,.429,.425,3rd of 5,27.5,,747,882,"2,026,441",27.5,27.6,41,21,B.Ausmus (3.3),L.Parrish (69-92)
1998,DET,Detroit Tigers,AL Central,162,65,97,0,.401,.419,5th of 5,24.0,,722,863,"1,409,391",27.3,26.6,45,20,D.Easley (5.6),B.Bell (52-85) and L.Parrish (13-12)
1997,DET,Detroit Tigers,AL East,162,79,83,0,.488,.497,3rd of 5,19.0,,784,790,"1,365,157",26.5,27.5,43,20,J.Thompson (7.8),B.Bell (79-83)
1996,DET,Detroit Tigers,AL East,162,53,109,0,.327,.348,5th of 5,39.0,,783,1103,"1,168,610",27.0,26.7,53,27,O.Olivares (3.6),B.Bell (53-109)
1995,DET,Detroit Tigers,AL East,144,60,84,0,.417,.385,4th of 5,26.0,,654,844,"1,180,979",28.8,27.8,45,22,D.Wells (4.6),S.Anderson (60-84)
1994,DET,Detroit Tigers,AL East,115,53,62,0,.461,.487,5th of 5,18.0,,652,671,"1,184,783",30.8,31.2,36,18,T.Phillips (4.7),S.Anderson (53-62)
1993,DET,Detroit Tigers,AL East,162,85,77,0,.525,.533,3rd of 7,10.0,,899,837,"1,971,421",30.7,30.1,40,22,T.Phillips (5.6),S.Anderson (85-77)
1992,DET,Detroit Tigers,AL East,162,75,87,0,.463,.498,6th of 7,21.0,,791,794,"1,423,963",29.9,29.6,34,15,T.Phillips (5.0),S.Anderson (75-87)
1991,DET,Detroit Tigers,AL East,162,84,78,0,.519,.513,2nd of 7,7.0,,817,794,"1,641,661",29.2,30.8,41,19,L.Whitaker (6.7),S.Anderson (84-78)
1990,DET,Detroit Tigers,AL East,162,79,83,0,.488,.498,3rd of 7,9.0,,750,754,"1,495,785",30.6,30.4,43,20,A.Trammell (6.7),S.Anderson (79-83)
2016,FLA,Miami Marlins,NL East,161,79,82,0,.491,.482,3rd of 5,15.5,,655,682,"1,712,417",28.3,28.0,53,31,C.Yelich (5.2),D.Mattingly (79-82)
2015,FLA,Miami Marlins,NL East,162,71,91,0,.438,.454,3rd of 5,19.0,,613,678,"1,752,235",27.9,27.3,51,29,D.Gordon (5.1),M.Redmond (16-22) and D.Jennings (55-69)
2014,FLA,Miami Marlins,NL East,162,77,85,0,.475,.480,4th of 5,19.0,,645,674,"1,732,283",27.4,26.4,45,25,G.Stanton (6.6),M.Redmond (77-85)
2013,FLA,Miami Marlins,NL East,162,62,100,0,.383,.396,5th of 5,34.0,,513,646,"1,586,322",27.7,26.0,53,26,J.Fernandez (6.7),M.Redmond (62-100)
2012,FLA,Miami Marlins,NL East,162,69,93,0,.426,.422,5th of 5,29.0,,609,724,"2,219,444",28.3,28.8,45,21,G.Stanton (5.4),O.Guillen (69-93)
2011,FLA,Florida Marlins,NL East,162,72,90,0,.444,.447,5th of 5,30.0,,625,702,"1,520,562",27.4,28.0,44,22,G.Stanton (4.1),"E.Rodriguez (32-39), B.Hyde (0-1) and J.McKeon (40-50)"
2010,FLA,Florida Marlins,NL East,162,80,82,0,.494,.501,3rd of 5,17.0,,719,717,"1,524,894",26.9,27.1,57,31,J.Johnson (6.6),F.Gonzalez (34-36) and E.Rodriguez (46-46)
2009,FLA,Florida Marlins,NL East,162,87,75,0,.537,.504,2nd of 5,6.0,,772,766,"1,464,109",27.0,26.3,44,27,J.Johnson (7.4),F.Gonzalez (87-75)
2008,FLA,Florida Marlins,NL East,161,84,77,0,.522,.502,3rd of 5,7.5,,770,767,"1,335,076",28.0,26.6,45,22,H.Ramirez (6.7),F.Gonzalez (84-77)
2007,FLA,Florida Marlins,NL East,162,71,91,0,.438,.445,5th of 5,18.0,,790,891,"1,370,511",26.7,26.2,50,30,H.Ramirez (4.3),F.Gonzalez (71-91)
2006,FLA,Florida Marlins,NL East,162,78,84,0,.481,.492,4th of 5,19.0,,758,772,"1,164,134",25.6,25.9,40,21,M.Cabrera (5.8),J.Girardi (78-84)
2005,FLA,Florida Marlins,NL East,162,83,79,0,.512,.491,3rd of 5,7.0,,717,732,"1,852,608",29.7,29.5,47,27,D.Willis (8.4),J.McKeon (83-79)
2004,FLA,Florida Marlins,NL East,162,83,79,0,.512,.512,3rd of 5,13.0,,718,700,"1,723,105",28.8,27.8,45,25,C.Pavano (5.8),J.McKeon (83-79)
2003,FLA,Florida Marlins,NL East,162,91,71,0,.562,.537,2nd of 5,10.0,Won WS (4-2),751,692,"1,303,215",27.7,26.3,40,22,D.Willis (4.4),J.Torborg (16-22) and J.McKeon (75-49)
2002,FLA,Florida Marlins,NL East,162,79,83,0,.488,.460,4th of 5,23.0,,699,763,"813,118",28.4,26.1,41,21,A.Burnett (4.0),J.Torborg (79-83)
2001,FLA,Florida Marlins,NL East,162,76,86,0,.469,.499,4th of 5,12.0,,742,744,"1,261,226",27.3,26.5,42,23,C.Floyd (6.6),J.Boles (22-26) and T.Perez (54-60)
2000,FLA,Florida Marlins,NL East,161,79,82,0,.491,.461,3rd of 5,15.5,,731,797,"1,218,326",26.1,26.7,40,18,L.Castillo (4.5),J.Boles (79-82)
1999,FLA,Florida Marlins,NL East,162,64,98,0,.395,.405,5th of 5,39.0,,691,852,"1,369,421",25.2,26.0,44,21,A.Fernandez (3.4),J.Boles (64-98)
1998,FLA,Florida Marlins,NL East,162,54,108,0,.333,.356,5th of 5,52.0,,667,923,"1,730,384",25.4,24.5,49,22,M.Kotsay (3.9),J.Leyland (54-108)
1997,FLA,Florida Marlins,NL East,162,92,70,0,.568,.546,2nd of 5,9.0,Won WS (4-3),740,669,"2,364,387",28.5,27.5,43,20,K.Brown (6.8),J.Leyland (92-70)
1996,FLA,Florida Marlins,NL East,162,80,82,0,.494,.490,3rd of 5,16.0,,688,703,"1,746,767",27.9,28.0,46,23,K.Brown (7.8),"R.Lachemann (39-47), C.Rojas (1-0) and J.Boles (40-35)"
1995,FLA,Florida Marlins,NL East,143,67,76,0,.469,.500,4th of 5,22.5,,673,673,"1,700,466",28.1,28.3,46,27,C.Hammond (3.2),R.Lachemann (67-76)
1994,FLA,Florida Marlins,NL East,115,51,64,0,.443,.406,5th of 5,23.5,,468,576,"1,937,467",27.6,29.0,42,20,J.Conine (2.8),R.Lachemann (51-64)
1993,FLA,Florida Marlins,NL East,162,64,98,0,.395,.401,6th of 7,33.0,,581,724,"3,064,847",27.7,29.7,43,18,B.Harvey (4.0),R.Lachemann (64-98)
2016,HOU,Houston Astros,AL West,162,84,78,0,.519,.515,3rd of 5,11.0,,724,701,"2,306,623",26.6,28.9,43,23,J.Altuve (7.8),A.Hinch (84-78)
2015,HOU,Houston Astros,AL West,162,86,76,0,.531,.575,2nd of 5,2.0,Lost LDS (3-2),729,618,"2,153,585",26.6,29.4,46,24,D.Keuchel (6.7),A.Hinch (86-76)
2014,HOU,Houston Astros,AL West,162,70,92,0,.432,.437,4th of 5,28.0,,629,723,"1,751,829",25.7,27.9,48,28,J.Altuve (6.1),B.Porter (59-79) and T.Lawless (11-13)
2013,HOU,Houston Astros,AL West,162,51,111,0,.315,.354,5th of 5,45.0,,610,848,"1,651,883",26.0,27.2,50,26,J.Castro (4.5),B.Porter (51-111)
2012,HOU,Houston Astros,NL Central,162,55,107,0,.340,.362,6th of 6,42.0,,583,794,"1,607,733",26.6,27.2,50,26,L.Harrell (3.1),B.Mills (39-82) and T.DeFrancesco (16-25)
2011,HOU,Houston Astros,NL Central,162,56,106,0,.346,.384,6th of 6,40.0,,615,796,"2,067,016",28.2,27.2,47,23,C.Lee (4.0),B.Mills (56-106)
2010,HOU,Houston Astros,NL Central,162,76,86,0,.469,.420,4th of 6,15.0,,611,729,"2,331,490",29.5,29.6,48,25,M.Bourn (5.5),B.Mills (76-86)
2009,HOU,Houston Astros,NL Central,162,74,88,0,.457,.418,5th of 6,17.0,,643,770,"2,521,076",31.6,31.2,42,22,M.Bourn (5.0),C.Cooper (70-79) and D.Clark (4-9)
2008,HOU,Houston Astros,NL Central,161,86,75,0,.534,.481,3rd of 6,11.0,,712,743,"2,779,487",31.1,30.9,41,20,L.Berkman (6.8),C.Cooper (86-75)
2007,HOU,Houston Astros,NL Central,162,73,89,0,.451,.447,4th of 6,12.0,,723,813,"3,020,405",31.4,30.2,41,21,R.Oswalt (6.6),P.Garner (58-73) and C.Cooper (15-16)
2006,HOU,Houston Astros,NL Central,162,82,80,0,.506,.510,2nd of 6,1.5,,735,719,"3,022,763",30.5,29.8,39,19,R.Oswalt (6.1),P.Garner (82-80)
2005,HOU,Houston Astros,NL Central,163,89,73,1,.549,.559,2nd of 6,11.0,Lost WS (4-0),693,609,"2,804,760",30.3,30.3,36,17,R.Clemens (8.2),P.Garner (89-73)
2004,HOU,Houston Astros,NL Central,162,92,70,0,.568,.564,2nd of 6,13.0,Lost NLCS (4-3),803,698,"3,087,872",31.7,29.6,42,23,L.Berkman (6.0),J.Williams (44-44) and P.Garner (48-26)
2003,HOU,Houston Astros,NL Central,162,87,75,0,.537,.579,2nd of 6,1.0,,805,677,"2,454,241",31.1,27.6,44,23,R.Hidalgo (5.7),J.Williams (87-75)
2002,HOU,Houston Astros,NL Central,162,84,78,0,.519,.534,2nd of 6,13.0,,749,695,"2,517,357",30.1,27.3,41,21,R.Oswalt (6.9),J.Williams (84-78)
2001,HOU,Houston Astros,NL Central,162,93,69,0,.574,.544,1st of 6,--,Lost LDS (3-0),847,769,"2,904,277",30.3,28.4,45,25,L.Berkman (6.5),L.Dierker (93-69)
2000,HOU,Houston Astros,NL Central,162,72,90,0,.444,.497,4th of 6,23.0,,938,944,"3,056,139",29.1,28.0,46,23,R.Hidalgo (6.3),L.Dierker (72-90)
1999,HOU,Houston Astros,NL Central,162,97,65,0,.599,.590,1st of 6,--,Lost LDS (3-1),823,675,"2,706,017",29.8,27.4,38,15,M.Hampton (7.8),L.Dierker (84-51) and M.Galante (13-14)
1998,HOU,Houston Astros,NL Central,162,102,60,0,.630,.652,1st of 6,--,Lost LDS (3-1),874,620,"2,458,451",29.7,27.8,38,18,C.Biggio (6.5),L.Dierker (102-60)
1997,HOU,Houston Astros,NL Central,162,84,78,0,.519,.574,1st of 5,--,Lost LDS (3-0),777,660,"2,046,781",28.8,27.0,41,18,C.Biggio (9.4),L.Dierker (84-78)
1996,HOU,Houston Astros,NL Central,162,82,80,0,.506,.477,2nd of 5,6.0,,753,792,"1,975,888",28.2,28.5,43,22,J.Bagwell (7.5),T.Collins (82-80)
1995,HOU,Houston Astros,NL Central,144,76,68,0,.528,.547,2nd of 5,9.0,,747,674,"1,363,801",28.1,27.9,44,19,C.Biggio (6.3),T.Collins (76-68)
1994,HOU,Houston Astros,NL Central,115,66,49,0,.574,.581,2nd of 5,0.5,,602,503,"1,561,136",27.8,27.2,33,13,J.Bagwell (8.2),T.Collins (66-49)
1993,HOU,Houston Astros,NL West,162,85,77,0,.525,.558,3rd of 7,19.0,,716,630,"2,084,618",27.1,28.3,36,16,J.Bagwell (5.4),A.Howe (85-77)
1992,HOU,Houston Astros,NL West,162,81,81,0,.500,.457,4th of 6,17.0,,608,668,"1,211,412",26.4,27.1,38,16,S.Finley (5.7),A.Howe (81-81)
1991,HOU,Houston Astros,NL West,162,65,97,0,.401,.423,6th of 6,29.0,,605,717,"1,196,152",26.1,26.4,44,19,S.Finley (5.1),A.Howe (65-97)
1990,HOU,Houston Astros,NL West,162,75,87,0,.463,.438,4th of 6,16.0,,573,656,"1,310,927",28.4,31.8,44,17,D.Darwin (5.3),A.Howe (75-87)
2016,KCR,Kansas City Royals,AL Central,162,81,81,0,.500,.476,3rd of 5,13.5,,675,712,"2,557,712",28.6,29.9,42,21,I.Kennedy (3.9),N.Yost (81-81)
2015,KCR,Kansas City Royals,AL Central,162,95,67,0,.586,.555,1st of 5,--,Won WS (4-1),724,641,"2,708,549",29.1,30.0,45,24,L.Cain (7.2),N.Yost (95-67)
2014,KCR,Kansas City Royals,AL Central,162,89,73,0,.549,.519,2nd of 5,1.0,Lost WS (4-3),651,624,"1,956,482",28.3,28.9,48,23,A.Gordon (6.7),N.Yost (89-73)
2013,KCR,Kansas City Royals,AL Central,162,86,76,0,.531,.534,3rd of 5,7.0,,648,601,"1,750,754",27.0,28.9,43,20,J.Shields (4.3),N.Yost (86-76)
2012,KCR,Kansas City Royals,AL Central,162,72,90,0,.444,.455,3rd of 5,16.0,,676,746,"1,739,859",26.1,27.3,46,25,A.Gordon (6.3),N.Yost (72-90)
2011,KCR,Kansas City Royals,AL Central,162,71,91,0,.438,.480,4th of 5,24.0,,730,762,"1,724,450",25.8,26.4,42,23,A.Gordon (7.2),N.Yost (71-91)
2010,KCR,Kansas City Royals,AL Central,162,67,95,0,.414,.399,5th of 5,27.0,,676,845,"1,615,327",28.8,27.5,46,25,J.Soria (3.7),T.Hillman (12-23) and N.Yost (55-72)
2009,KCR,Kansas City Royals,AL Central,162,65,97,0,.401,.407,4th of 5,21.5,,686,842,"1,797,891",27.8,28.7,43,23,Z.Greinke (10.4),T.Hillman (65-97)
2008,KCR,Kansas City Royals,AL Central,162,75,87,0,.463,.444,4th of 5,13.5,,691,781,"1,578,922",28.0,27.6,43,25,Z.Greinke (5.3),T.Hillman (75-87)
2007,KCR,Kansas City Royals,AL Central,162,69,93,0,.426,.456,5th of 5,27.0,,706,778,"1,616,867",27.9,27.1,45,23,G.Meche (4.1),B.Bell (69-93)
2006,KCR,Kansas City Royals,AL Central,162,62,100,0,.383,.388,5th of 5,34.0,,757,971,"1,372,638",29.6,27.7,55,31,M.Teahen (3.7),B.Bell (62-100)
2005,KCR,Kansas City Royals,AL Central,162,56,106,0,.346,.371,5th of 5,43.0,,701,935,"1,371,181",27.9,25.7,46,22,D.DeJesus (4.4),"T.Pena (8-25), B.Schaefer (5-12) and B.Bell (43-69)"
2004,KCR,Kansas City Royals,AL Central,162,58,104,0,.358,.397,5th of 5,34.0,,720,905,"1,661,478",28.9,27.4,58,25,Z.Greinke (3.8),T.Pena (58-104)
2003,KCR,Kansas City Royals,AL Central,162,83,79,0,.512,.483,3rd of 5,7.0,,836,867,"1,779,895",29.2,28.0,53,29,D.May (5.9),T.Pena (83-79)
2002,KCR,Kansas City Royals,AL Central,162,62,100,0,.383,.414,4th of 5,32.5,,737,891,"1,323,036",29.2,27.8,52,26,P.Byrd (5.6),"T.Muser (8-15), J.Mizerock (5-8) and T.Pena (49-77)"
2001,KCR,Kansas City Royals,AL Central,162,65,97,0,.401,.426,5th of 5,26.0,,729,858,"1,536,371",28.2,27.3,44,19,C.Beltran (6.4),T.Muser (65-97)
2000,KCR,Kansas City Royals,AL Central,162,77,85,0,.475,.474,4th of 5,18.0,,879,930,"1,564,847",27.5,25.8,44,24,J.Damon (6.1),T.Muser (77-85)
1999,KCR,Kansas City Royals,AL Central,161,64,97,0,.398,.467,4th of 5,32.5,,856,921,"1,506,068",27.0,26.9,50,27,J.Damon (5.4),T.Muser (64-97)
1998,KCR,Kansas City Royals,AL Central,161,72,89,0,.447,.396,3rd of 5,16.5,,714,899,"1,494,875",28.7,28.8,51,22,J.Offerman (5.3),T.Muser (72-89)
1997,KCR,Kansas City Royals,AL Central,161,67,94,0,.416,.457,5th of 5,19.0,,747,820,"1,517,638",28.8,27.6,51,25,K.Appier (5.5),B.Boone (36-46) and T.Muser (31-48)
1996,KCR,Kansas City Royals,AL Central,161,75,86,0,.466,.476,5th of 5,24.0,,746,786,"1,435,997",27.2,29.0,40,19,K.Appier (5.9),B.Boone (75-86)
1995,KCR,Kansas City Royals,AL Central,144,70,74,0,.486,.457,2nd of 5,30.0,,629,691,"1,233,530",29.1,28.0,51,21,K.Appier (4.6),B.Boone (70-74)
1994,KCR,Kansas City Royals,AL Central,115,64,51,0,.557,.535,3rd of 5,4.0,,574,532,"1,400,494",29.9,28.0,31,15,D.Cone (6.9),H.McRae (64-51)
1993,KCR,Kansas City Royals,AL West,162,84,78,0,.519,.487,3rd of 7,10.0,,675,694,"1,934,578",30.0,27.4,43,20,K.Appier (9.3),H.McRae (84-78)
1992,KCR,Kansas City Royals,AL West,162,72,90,0,.444,.459,5th of 7,24.0,,610,667,"1,867,689",28.9,27.1,42,22,K.Appier (8.0),H.McRae (72-90)
1991,KCR,Kansas City Royals,AL West,162,82,80,0,.506,.503,6th of 7,13.0,,727,722,"2,161,537",28.6,27.6,45,19,B.Saberhagen (5.1),"J.Wathan (15-22), B.Schaefer (1-0) and H.McRae (66-58)"
1990,KCR,Kansas City Royals,AL West,161,75,86,0,.466,.499,6th of 7,27.5,,707,709,"2,244,956",29.7,27.3,46,23,K.Appier (5.3),J.Wathan (75-86)
2016,LAA,Los Angeles Angels of Anaheim,AL West,162,74,88,0,.457,.494,4th of 5,21.0,,717,727,"3,016,142",28.5,28.4,53,30,M.Trout (10.4),M.Scioscia (74-88)
2015,LAA,Los Angeles Angels of Anaheim,AL West,162,85,77,0,.525,.490,3rd of 5,3.0,,661,675,"3,012,765",28.6,28.3,51,24,M.Trout (9.3),M.Scioscia (85-77)
2014,LAA,Los Angeles Angels of Anaheim,AL West,162,98,64,0,.605,.593,1st of 5,--,Lost LDS (3-0),773,630,"3,095,935",29.3,28.4,54,31,M.Trout (8.0),M.Scioscia (98-64)
2013,LAA,Los Angeles Angels of Anaheim,AL West,162,78,84,0,.481,.498,3rd of 5,18.0,,733,737,"3,019,505",27.8,29.1,49,26,M.Trout (9.3),M.Scioscia (78-84)
2012,LAA,Los Angeles Angels of Anaheim,AL West,162,89,73,0,.549,.542,3rd of 4,5.0,,767,699,"3,061,770",28.8,30.1,44,23,M.Trout (10.8),M.Scioscia (89-73)
2011,LAA,Los Angeles Angels of Anaheim,AL West,162,86,76,0,.531,.524,2nd of 4,10.0,,667,633,"3,166,321",28.9,28.4,43,21,J.Weaver (6.9),M.Scioscia (86-76)
2010,LAA,Los Angeles Angels of Anaheim,AL West,162,80,82,0,.494,.486,3rd of 4,10.0,,681,702,"3,250,814",29.6,28.3,46,21,J.Weaver (5.3),M.Scioscia (80-82)
2009,LAA,Los Angeles Angels of Anaheim,AL West,162,97,65,0,.599,.568,1st of 4,--,Lost ALCS (4-2),883,761,"3,240,386",29.6,28.6,46,25,C.Figgins (7.7),M.Scioscia (97-65)
2008,LAA,Los Angeles Angels of Anaheim,AL West,162,100,62,0,.617,.542,1st of 4,--,Lost LDS (3-1),765,697,"3,336,747",28.9,27.6,41,19,E.Santana (5.0),M.Scioscia (100-62)
2007,LAA,Los Angeles Angels of Anaheim,AL West,162,94,68,0,.580,.553,1st of 4,--,Lost LDS (3-0),822,731,"3,365,632",28.6,28.4,42,18,J.Lackey (6.2),M.Scioscia (94-68)
2006,LAA,Los Angeles Angels of Anaheim,AL West,162,89,73,0,.549,.521,2nd of 4,4.0,,766,732,"3,406,790",28.8,27.9,40,18,J.Weaver (4.7),M.Scioscia (89-73)
2005,LAA,Los Angeles Angels of Anaheim,AL West,162,95,67,0,.586,.576,1st of 4,--,Lost ALCS (4-1),761,643,"3,404,686",29.7,28.5,40,18,V.Guerrero (5.7),M.Scioscia (95-67)
2004,LAA,Anaheim Angels,AL West,162,92,70,0,.568,.559,1st of 4,--,Lost LDS (3-0),836,734,"3,375,677",28.9,29.0,38,16,V.Guerrero (5.6),M.Scioscia (92-70)
2003,LAA,Anaheim Angels,AL West,162,77,85,0,.475,.496,3rd of 4,19.0,,736,743,"3,061,094",29.1,29.0,43,19,G.Anderson (4.0),M.Scioscia (77-85)
2002,LAA,Anaheim Angels,AL West,162,99,63,0,.611,.625,2nd of 4,4.0,Won WS (4-3),851,644,"2,305,547",28.5,30.2,40,18,D.Erstad (6.4),M.Scioscia (99-63)
2001,LAA,Anaheim Angels,AL West,162,75,87,0,.463,.475,3rd of 4,41.0,,691,730,"2,000,919",28.0,28.9,38,18,T.Glaus (5.2),M.Scioscia (75-87)
2000,LAA,Anaheim Angels,AL West,162,82,80,0,.506,.497,3rd of 4,9.5,,864,869,"2,066,982",27.7,28.9,45,25,D.Erstad (8.3),M.Scioscia (82-80)
1999,LAA,Anaheim Angels,AL West,162,70,92,0,.432,.432,4th of 4,25.0,,711,826,"2,253,123",28.8,31.5,45,20,R.Velarde (4.2),T.Collins (51-82) and J.Maddon (19-10)
1998,LAA,Anaheim Angels,AL West,162,85,77,0,.525,.502,2nd of 4,3.0,,787,783,"2,519,280",28.7,29.8,45,19,C.Finley (7.2),T.Collins (85-77)
1997,LAA,Anaheim Angels,AL West,162,84,78,0,.519,.520,2nd of 4,6.0,,829,794,"1,767,330",29.7,28.3,43,21,T.Salmon (4.9),T.Collins (84-78)
1996,LAA,California Angels,AL West,161,70,91,0,.435,.404,4th of 4,19.5,,762,943,"1,820,521",29.3,29.1,52,29,J.Edmonds (5.0),"M.Lachemann (52-59), J.McNamara (10-18) and J.Maddon (8-14)"
1995,LAA,California Angels,AL West,145,78,67,0,.538,.563,2nd of 4,1.0,,801,697,"1,748,680",29.0,30.7,45,20,T.Salmon (6.6),M.Lachemann (78-67)
1994,LAA,California Angels,AL West,115,47,68,0,.409,.412,4th of 4,5.5,,543,660,"1,512,622",27.8,28.9,37,18,C.Finley (3.5),B.Rodgers (16-24) and M.Lachemann (31-44)
1993,LAA,California Angels,AL West,162,71,91,0,.438,.446,5th of 7,23.0,,684,770,"2,057,460",27.3,28.8,46,24,M.Langston (8.6),B.Rodgers (71-91)
1992,LAA,California Angels,AL West,162,72,90,0,.444,.433,5th of 7,24.0,,579,671,"2,065,444",28.1,28.8,41,16,J.Abbott (5.8),B.Rodgers (33-40) and J.Wathan (39-50)
1991,LAA,California Angels,AL West,162,81,81,0,.500,.503,7th of 7,14.0,,653,649,"2,416,236",30.8,27.9,42,17,J.Abbott (7.6),D.Rader (61-63) and B.Rodgers (20-18)
1990,LAA,California Angels,AL West,162,80,82,0,.494,.490,4th of 7,23.0,,690,706,"2,555,688",29.8,28.1,43,20,C.Finley (7.7),D.Rader (80-82)
2016,LAD,Los Angeles Dodgers,NL West,162,91,71,0,.562,.558,1st of 5,--,Lost NLCS (4-2),725,638,"3,703,312",28.9,28.9,55,31,C.Seager (6.0),D.Roberts (91-71)
2015,LAD,Los Angeles Dodgers,NL West,162,92,70,0,.568,.552,1st of 5,--,Lost LDS (3-2),667,595,"3,764,815",29.5,28.1,55,31,Z.Greinke (9.7),D.Mattingly (92-70)
2014,LAD,Los Angeles Dodgers,NL West,162,94,68,0,.580,.569,1st of 5,--,Lost LDS (3-1),718,617,"3,782,337",29.3,29.9,49,25,C.Kershaw (8.1),D.Mattingly (94-68)
2013,LAD,Los Angeles Dodgers,NL West,162,92,70,0,.568,.550,1st of 5,--,Lost NLCS (4-2),649,582,"3,743,527",30.6,28.1,49,27,C.Kershaw (8.4),D.Mattingly (92-70)
2012,LAD,Los Angeles Dodgers,NL West,162,86,76,0,.531,.530,2nd of 5,8.0,,637,597,"3,324,246",30.4,29.0,50,25,C.Kershaw (6.6),D.Mattingly (86-76)
2011,LAD,Los Angeles Dodgers,NL West,161,82,79,0,.509,.523,3rd of 5,11.5,,644,612,"2,935,139",29.8,28.6,48,21,M.Kemp (8.2),D.Mattingly (82-79)
2010,LAD,Los Angeles Dodgers,NL West,162,80,82,0,.494,.483,4th of 5,12.0,,667,692,"3,562,320",30.2,28.1,49,24,C.Kershaw (5.2),J.Torre (80-82)
2009,LAD,Los Angeles Dodgers,NL West,162,95,67,0,.586,.610,1st of 5,--,Lost NLCS (4-1),780,611,"3,761,655",29.7,27.8,47,25,M.Kemp (4.8),J.Torre (95-67)
2008,LAD,Los Angeles Dodgers,NL West,162,84,78,0,.519,.535,1st of 5,--,Lost NLCS (4-1),700,648,"3,730,553",28.5,29.5,46,22,D.Lowe (4.6),J.Torre (84-78)
2007,LAD,Los Angeles Dodgers,NL West,162,82,80,0,.506,.505,4th of 5,8.0,,735,727,"3,857,036",29.7,31.1,45,22,B.Penny (6.6),G.Little (82-80)
2006,LAD,Los Angeles Dodgers,NL West,162,88,74,0,.543,.540,2nd of 5,--,Lost LDS (3-0),820,751,"3,758,545",29.9,30.4,50,22,D.Lowe (4.6),G.Little (88-74)
2005,LAD,Los Angeles Dodgers,NL West,162,71,91,0,.438,.456,4th of 5,11.0,,685,755,"3,603,646",28.7,28.5,44,20,J.Kent (3.7),J.Tracy (71-91)
2004,LAD,Los Angeles Dodgers,NL West,162,93,69,0,.574,.549,1st of 5,--,Lost LDS (3-1),761,684,"3,488,283",28.9,29.5,43,22,A.Beltre (9.5),J.Tracy (93-69)
